fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,target
6.3,1.0201209062158343,-0.2534780459987083,5.446389660192205,0.048,41.0,161.0,2.0223324497038617,5.210102564737992,0.5,10.5,6.070227683122277
7.8,0.22346455293998696,0.05466783234462175,26.92204218514141,0.054,23.0,135.0,1.560450899419075,4.857553634415545,0.38,9.0,7.051314814683835
7.4,0.9406942565939653,0.29745287074007065,12.232474366474197,0.041,24.0,160.0,1.2382148826694954,5.094388402945055,0.43,10.0,5.921500479690986
7.4,0.8014318623675971,1.0534890613618144,2.005883466924565,0.055,18.0,150.0,1.4447566434648813,4.979889047255047,0.47,11.2,6.644763584939504
7.2,0.4968604225583966,0.5519599440457736,24.861334691596138,0.046,6.0,41.0,1.2103436228787672,4.853128120033883,0.39,10.9,7.0312762310762675
6.8,0.4019957230839281,0.49006153785137363,21.250466405746977,0.076,50.0,163.0,1.3398494644108438,4.725474044960605,0.38,8.6,7.427991336307443
8.4,-0.04470957681652471,-0.12300828682346454,14.642902425120841,0.024,17.0,118.0,1.3255715814372249,4.570792402259897,0.34,10.5,7.555944042473589
8.1,0.12061996350536733,1.0850258443040286,22.82223422454536,0.053,43.0,145.0,1.02981883975562,5.4530854935809,0.75,8.8,8.232431290787805
6.7,0.8011895143607078,0.4511039089486668,10.620632985861247,0.044,28.0,100.0,2.043406820644418,4.771514436949388,0.33,10.2,6.819569349492332
6.8,0.32937578888668073,0.25217469903235196,1.6365526023614536,0.047,30.0,90.0,1.6499291090666846,4.961126997885622,0.54,11.2,7.4805126061992135
7.1,0.39250446223765123,0.9957269329966686,28.758756868464317,0.046,39.0,145.0,1.3937964783145698,5.842378600051861,0.39,8.7,6.798020517261512
8.2,1.033636962752699,1.142249017070482,21.881747606327256,0.042,59.0,169.0,1.6642873239300169,5.248222003547212,0.52,9.4,5.591368173420792
7.6,0.7208871645367148,1.2743770742827571,26.666822051669534,0.05,43.0,163.0,1.3491958819073817,4.48154599180224,0.54,9.2,6.689161464616289
6.4,0.21163805566607116,0.32587405098901373,1.635126087646626,0.047,20.0,77.0,0.7879614103890734,5.54656951304424,0.54,10.2,6.324951858882691
6.3,0.28887675070207913,0.32295703176474144,1.918323859809545,0.044,26.0,116.0,2.474207489967965,5.288738891516814,0.53,10.3,7.574142281559972
7.1,0.2495804887706078,1.032676875142622,2.410065479045473,0.066,29.0,133.0,1.641839963003118,5.089126520169449,0.54,12.7,6.859121833897329
6.7,0.32768780609092407,0.08648366707887489,15.44909942345556,0.04,10.0,175.0,1.4157760882055705,5.088852140278933,0.55,11.4,5.781411632821875
